Submitted at,Country you live and work in,City,Gender,Your age,Your job title,UI/UX Designer,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Years of relevant experience_grouped,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Exclude,More than 1 row_jobtitle,Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
23/10/2024 2:37,Indonesia,Yogyakarta,Male,25 - 30,Senior Graphic Designer,Graphic Designer,Full-time employee,Senior IC,Marketing / graphic design,4,8,3 to 5 years,Diploma,No,,,,,,,Yes,IDR,Monthly,,"4,000,000","5,000,000",,"1,500,000","54,500,000","4,578",,Y,"Budget for equipment or home office setup, Meal subsidies, Health insurance, Internet / mobile phone subsidies",Government,"Transportation, hospitality & services",51 - 200,Team of 1,Yes,Fully on-site,Aveta Hotel Malioboro
23/10/2024 2:40,Indonesia,Jakarta,Male,18 - 24,Graphic designer,Product designer,Full-time employee,Mid-level IC,Marketing / graphic design,2,4,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"6,000,000",,,,"72,000,000","6,048",,Y,"Health insurance, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Fnb & retail,Nov-50,2-Oct,Yes,Fully on-site,Hephziba ventura indonesia
23/10/2024 2:41,Indonesia,Lampung,Male,25 - 30,Product Designer + UI designer,Product designer,Fixed term contractor,Senior IC,Product / UX design,4,4,3 to 5 years,Diploma,Yes,"Online certification (e.g. Coursera or IDF), Formal design education (Diploma, Degree..)",TRUE,TRUE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"4,000,000",,,,"48,000,000","4,032",,Y,Allowance for flexible working arrangement (remote/co-working space),Agency / Consulting,"Technology, media & telecommunications",Nov-50,Team of 1,Not applicable,Fully remote,
23/10/2024 2:42,Indonesia,Jakarta,Male,25 - 30,Product Designer,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,4,5,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), In-person certified courses, Self-taught / informal / unstructured courses",TRUE,FALSE,TRUE,TRUE,TRUE,No,IDR,Monthly,,"7,200,000",,,,"86,400,000","7,258",,Y,"Health insurance, Dental insurance, Budget for equipment or home office setup, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Banking & capital markets,201 - 1000,2-Oct,Yes,3 days on-site,
23/10/2024 2:44,Indonesia,Kediri,Female,18 - 24,Junior UI/UX Designer,Graphic Designer,Full-time employee,Junior IC (Entry level),UI/UX Designer,3,1.5,3 to 5 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"2,500,000","50,000",0,0,"30,050,000","2,524",,Y,,Academia / Educational institution,Education,201 - 1000,Team of 1,No,1 day on-site,Kampung Inggris LC
23/10/2024 2:46,Indonesia,Bandung,Female,25 - 30,Graphic Designera,Interior designer,Full-time employee,Mid-level IC,Marketing / graphic design,5,2,5 to 10 years,Bachelor's degree,No,,FALSE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"3,500,000",,,,"42,000,000","3,528",,Y,,Small-medium enterprise,FnB,Nov-50,Team of 1,Yes,Fully on-site,PT Deu Tiga Utama
23/10/2024 2:46,Indonesia,Surabaya,Female,25 - 30,Interior Designer,UI/UX Designer,Full-time employee,Senior IC,Architect / spatial design,3,5,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"5,000,000","7,000,000",,,"67,000,000","5,628",,Y,,Agency / Consulting,Interior,1-Oct,2-Oct,Yes,Fully on-site,
23/10/2024 2:49,Indonesia,Tangerang,Male,25 - 30,UI/UX Designer,UI/UX Designer,Full-time employee,Senior IC,Product / UX design,4,6,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,500,000",,,,"78,000,000","6,552",,Y,,Start-up,"Technology, media & telecommunications",1-Oct,Team of 1,No,Fully remote,
23/10/2024 2:52,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,UX Researcher,Full-time employee,Mid-level IC,Product / UX design,3,3,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"8,400,000","8,400,000",,,"109,200,000","9,173",,Y,Flexible schedule,Start-up,Financial services,Nov-50,2-Oct,Yes,Fully remote,Taphomes
23/10/2024 2:55,Indonesia,Jakarta,Female,25 - 30,UI/UX Research & Design Specialist,UI/UX Designer,Full-time employee,Senior IC,Product / UX research,3,6,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"13,000,000",,,,"156,000,000","13,104",,Y,"Professional development, training, or learning fund, Health insurance, Transport subsidies, Dental insurance",Large enterprise (MNC),Banking & capital markets,201 - 1000,2-Oct,Yes,Fully on-site,Sharia Bank in Indonesia
23/10/2024 2:56,Indonesia,Bandung,Female,25 - 30,UI/UX Designer,Graphic Designer,Full-time employee,Mid-level IC,Visual / UI design,4,4,3 to 5 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses, Online certification (e.g. Coursera or IDF)",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,000,000","1,000,000",,,"61,000,000","5,124",,Y,"Paid time off / vacation time, Paid medical leave",Start-up,Financial services,Nov-50,Team of 1,No,Fully on-site,Danai.id
